LorentzFrames.LorentzFrameData.frameObstruction_eq_trivial_iff_spinStructure :: [Classical.choice, Quot.sound, propext]
LorentzFrames.LorentzFrameData.frame_defect_eq_pm_one :: [Classical.choice, Quot.sound, propext]
LorentzFrames.LorentzFrameData.frame_transition_laws :: [Classical.choice, Quot.sound, propext]
LorentzFrames.LorentzFrameData.nonempty_spinFrameStructure_iff_exists_coherent :: [Classical.choice, Quot.sound, propext]
LorentzFrames.SpinFrameStructure :: [Classical.choice, Quot.sound, propext]
LorentzFrames.SpinFrameStructure.spinStructure_torsor :: [Classical.choice, Quot.sound, propext]
LorentzFrames.contractibleCover :: [Classical.choice, Quot.sound, propext]
LorentzFrames.contractibleCover_contractible :: [Classical.choice, Quot.sound, propext]
LorentzFrames.finrank_carrier :: [Classical.choice, Quot.sound, propext]
LorentzFrames.finrank_tangentSpace :: [Classical.choice, Quot.sound, propext]
LorentzFrames.tangent_frame_cocycle :: [Classical.choice, Quot.sound, propext]
LorentzFrames.tangent_frame_spin_lift_obstruction :: [Classical.choice, Quot.sound, propext]
LorentzFrames.zdefect_change_of_lift :: [Classical.choice, Quot.sound, propext]
LorentzFrames.zdefect_cocycle₂ :: [Classical.choice, Quot.sound, propext]
LorentzFrames.zdefect_isCoboundary_iff_spinStructure :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.Cochain :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.Cohomology :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.Hmap :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.Hmap_comp :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.Hmap_id :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.coboundaries_le_cocycles :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.coboundary_coboundary :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.coboundary_cup :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.cohomology_succ_eq_zero_of_subsingleton :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.comparison_vanishing_iff_exists_coherent :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.cupH11 :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.cupH22 :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.cupSquare1 :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.cupSquare2 :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.cup_cocycle :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.d_comp_d :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.face_face :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.mk_eq_zero_iff :: [Classical.choice, Quot.sound, propext]
Mod2Cohomology.pullback_d :: [Classical.choice, Quot.sound, propext]
NerveGeom.ChainComparisonStatement :: [Classical.choice, Quot.sound, propext]
NerveGeom.ChainHomotopyEquivData :: [Classical.choice, Quot.sound, propext]
NerveGeom.ChainHomotopyEquivData.cochainHtpySimp_succ :: [Classical.choice, Quot.sound, propext]
NerveGeom.ChainHomotopyEquivData.cochainHtpySimp_zero :: [Classical.choice, Quot.sound, propext]
NerveGeom.ChainHomotopyEquivData.cochainHtpySing_succ :: [Classical.choice, Quot.sound, propext]
NerveGeom.ChainHomotopyEquivData.cochainHtpySing_zero :: [Classical.choice, Quot.sound, propext]
NerveGeom.ChainHomotopyEquivData.cochainInv_comm :: [Classical.choice, Quot.sound, propext]
NerveGeom.ChainHomotopyEquivData.toGeometricComparison :: [Classical.choice, Quot.sound, propext]
NerveGeom.GeometricComparison.equiv :: [Classical.choice, Quot.sound, propext]
NerveGeom.Hmap_injective :: [Classical.choice, Quot.sound, propext]
NerveGeom.Hmap_surjective :: [Classical.choice, Quot.sound, propext]
NerveGeom.NerveTheoremData.toNerveRealizationSpec :: [Classical.choice, Quot.sound, propext]
NerveGeom.NerveTheoremStatement :: [Classical.choice, Quot.sound, propext]
NerveGeom.SSetChain :: [Classical.choice, Quot.sound, propext]
NerveGeom.SingularToSimplicialCochainMap.Hmap :: [Classical.choice, Quot.sound, propext]
NerveGeom.canonicalNervePresentation :: [Classical.choice, Quot.sound, propext]
NerveGeom.cechCohomologyEquivSSet :: [Classical.choice, Quot.sound, propext]
NerveGeom.chainMap :: [Classical.choice, Quot.sound, propext]
NerveGeom.chainMap_comm :: [Classical.choice, Quot.sound, propext]
NerveGeom.chainMap_comm_of_unit :: [Classical.choice, Quot.sound, propext]
NerveGeom.chainMap_eq_unitChainMap :: [Classical.choice, Quot.sound, propext]
NerveGeom.charMap :: [Classical.choice, Quot.sound, propext]
NerveGeom.charSimplex :: [Classical.choice, Quot.sound, propext]
NerveGeom.charSimplex_degen :: [Classical.choice, Quot.sound, propext]
NerveGeom.charSimplex_face :: [Classical.choice, Quot.sound, propext]
NerveGeom.charSimplex_reindex :: [Classical.choice, Quot.sound, propext]
NerveGeom.charSimplex_universal :: [Classical.choice, Quot.sound, propext]
NerveGeom.coverNerveRealization :: [Classical.choice, Quot.sound, propext]
NerveGeom.coverNerveSSet :: [Classical.choice, Quot.sound, propext]
NerveGeom.coverNerveSSet_delta :: [Classical.choice, Quot.sound, propext]
NerveGeom.coverNerveSSet_sigma :: [Classical.choice, Quot.sound, propext]
NerveGeom.d_eq :: [Classical.choice, Quot.sound, propext]
NerveGeom.degen_degen_comm :: [Classical.choice, Quot.sound, propext]
NerveGeom.degen_repeats_vertex :: [Classical.choice, Quot.sound, propext]
NerveGeom.dualOf :: [Classical.choice, Quot.sound, propext]
NerveGeom.dualOf_chainMap :: [Classical.choice, Quot.sound, propext]
NerveGeom.dualOf_comp :: [Classical.choice, Quot.sound, propext]
NerveGeom.dualOf_simpBoundary :: [Classical.choice, Quot.sound, propext]
NerveGeom.dualOf_singBoundary :: [Classical.choice, Quot.sound, propext]
NerveGeom.face_castSucc_degen :: [Classical.choice, Quot.sound, propext]
NerveGeom.face_degen_of_gt :: [Classical.choice, Quot.sound, propext]
NerveGeom.face_degen_of_le :: [Classical.choice, Quot.sound, propext]
NerveGeom.face_face_comm :: [Classical.choice, Quot.sound, propext]
NerveGeom.face_succ_degen :: [Classical.choice, Quot.sound, propext]
NerveGeom.frameRealizedClass_eq_zero_iff_spinStructure :: [Classical.choice, Quot.sound, propext]
NerveGeom.fullComparison :: [Classical.choice, Quot.sound, propext]
NerveGeom.geometricCochainMap :: [Classical.choice, Quot.sound, propext]
NerveGeom.geometricCochainMap_dual_chainMap :: [Classical.choice, Quot.sound, propext]
NerveGeom.geometricHmap :: [Classical.choice, Quot.sound, propext]
NerveGeom.geometricHmap_bijective_of_chainHomotopyEquiv :: [Classical.choice, Quot.sound, propext]
NerveGeom.isDegenerate_iff_exists_degen :: [Classical.choice, Quot.sound, propext]
NerveGeom.linearCombination_dualOf :: [Classical.choice, Quot.sound, propext]
NerveGeom.normalizedCochains :: [Classical.choice, Quot.sound, propext]
NerveGeom.sSetBoundary :: [Classical.choice, Quot.sound, propext]
NerveGeom.sSetBoundary_naturality :: [Classical.choice, Quot.sound, propext]
NerveGeom.sSetChainMap :: [Classical.choice, Quot.sound, propext]
NerveGeom.simpBoundary_eq :: [Classical.choice, Quot.sound, propext]
NerveGeom.singBoundary_eq :: [Classical.choice, Quot.sound, propext]
NerveGeom.spinLiftRealizedClass :: [Classical.choice, Quot.sound, propext]
NerveGeom.spinLiftRealizedClassOfChain_eq_zero_iff :: [Classical.choice, Quot.sound, propext]
NerveGeom.spinLiftRealizedClassOfChain_eq_zero_iff_cech :: [Classical.choice, Quot.sound, propext]
NerveGeom.spinLiftRealizedClass_eq_zero_iff :: [Classical.choice, Quot.sound, propext]
NerveGeom.spinLiftRealizedClass_eq_zero_iff_cech :: [Classical.choice, Quot.sound, propext]
NerveGeom.spinLiftRealizedClass_lift_independent :: [Classical.choice, Quot.sound, propext]
NerveGeom.underlyingPresimplicial_coverNerveSSet :: [Classical.choice, Quot.sound, propext]
NerveZ2.Presimplicial.Cohomology :: [Classical.choice, Quot.sound, propext]
NerveZ2.Presimplicial.coboundary_coboundary :: [Classical.choice, Quot.sound, propext]
NerveZ2.cechCohomologyEquiv :: [Classical.choice, Quot.sound, propext]
NerveZ2.coverNerve :: [Classical.choice, Quot.sound, propext]
NerveZ2.coverNerve_cohomology :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.ChartAtlas :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.ChartAtlas.IsAdmissible :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.ChartAtlas.IsAdmissible.eq_top :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.ChartAtlas.top :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.ChartAtlas.top_isAdmissible :: [Classical.choice, Quot.sound, propext]
